setting,case_id,target,delta,reference_delta,jbc_same,lgcs_same,jbc_reference_change
peak_parallel_penalty_minus20,C062,4,0.0027961053379019774,0.0027961053379019774,True,True,0.0
peak_parallel_penalty_minus20,C063,1,0.004607234039808894,0.004607234039808672,True,True,0.0
peak_parallel_penalty_minus20,C063,2,0.0016941487804553734,0.0016941487804553734,True,True,0.0
peak_parallel_penalty_minus20,C064,1,0.011637731713318944,0.011637731713318944,True,True,0.0
peak_parallel_penalty_minus20,C064,2,0.9254220278053151,0.9254220278053156,True,True,0.0
peak_parallel_penalty_minus20,C064,3,0.036683028985192934,0.036683028985192934,True,True,0.0
peak_parallel_penalty_minus20,C064,4,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C065,1,0.0034856348874838794,0.0034856348874838794,True,True,0.0
peak_parallel_penalty_minus20,C065,2,0.009678430900594837,0.009678430900594837,True,True,0.0
peak_parallel_penalty_minus20,C065,3,0.10472513556972962,0.11146433476972972,True,True,0.0
peak_parallel_penalty_minus20,C065,4,0.1020210310298515,0.1087602302298516,True,True,0.0
peak_parallel_penalty_minus20,C066,1,0.0,0.0,True,True,0.0
peak_parallel_penalty_minus20,C066,2,0.012350887062387184,0.012373039462387325,True,True,0.0
peak_parallel_penalty_minus20,C066,3,0.10367846329713326,0.11089284529713317,True,True,0.0
peak_parallel_penalty_minus20,C066,4,0.0722421238580877,0.07794973137808747,True,True,0.0
peak_parallel_penalty_minus20,C067,1,0.09159224995107573,0.09791634971107566,True,True,0.0
peak_parallel_penalty_minus20,C067,2,0.09038247222063966,0.0967065719806397,True,True,0.0
peak_parallel_penalty_minus20,C067,3,0.2335646095803876,0.24851986190038766,True,True,0.0
peak_parallel_penalty_minus20,C067,4,0.016516733665683514,0.016580513425683563,True,True,0.0
peak_parallel_penalty_minus20,C068,1,0.02391984252145951,0.02391984252145951,True,True,0.0
peak_parallel_penalty_minus20,C068,2,0.024552095687763398,0.024552095687763398,True,True,0.0
peak_parallel_penalty_minus20,C068,3,0.02870620117499545,0.02870620117499545,True,True,0.0
