case_id,prototype,production_seed,prior_width_scale,generation_success,geometry_valid,l1_count,l2_count,ordinary_total_length,root_coverage_qcov,total_runtime_seconds,failed_phase,error_message
SW1-B_seed20260925_width1.0,SW1-B,20260925,1.0,1,True,5,2,1.1985452842877216,0.666666666,18.426037400000496,,
SW1-B_seed20260925_width0.8,SW1-B,20260925,0.8,1,True,5,1,1.0562165182843228,0.636363636,26.04403099999763,,
SW1-B_seed20260925_width1.2,SW1-B,20260925,1.2,1,True,6,1,1.1278892763622155,0.666666666,11.366017499996815,,
SW1-C_seed20260923_width1.0,SW1-C,20260923,1.0,1,True,6,2,1.3323536919638768,0.666666667,16.227967500002705,,
SW1-C_seed20260923_width0.8,SW1-C,20260923,0.8,1,True,6,3,1.6621549384949008,0.7272727270000001,18.930043899992597,,
SW1-C_seed20260923_width1.2,SW1-C,20260923,1.2,1,True,5,2,1.4221622805503316,0.666666666,13.855482999992091,,
SW1-C_seed20260924_width1.0,SW1-C,20260924,1.0,1,True,5,1,1.4920549253299744,0.636363637,15.93006470000546,,
SW1-C_seed20260924_width0.8,SW1-C,20260924,0.8,1,True,6,1,1.4198573824795984,0.666666667,23.560636299996986,,
SW1-C_seed20260924_width1.2,SW1-C,20260924,1.2,1,True,6,1,1.4270024730868487,0.696969697,15.483296000005794,,
SW1-C_seed20260925_width1.0,SW1-C,20260925,1.0,1,True,6,1,1.2804347968261827,0.727272728,17.645567799991113,,
SW1-C_seed20260925_width0.8,SW1-C,20260925,0.8,1,True,6,1,1.4116076979924757,0.727272728,19.43962819999433,,
SW1-C_seed20260925_width1.2,SW1-C,20260925,1.2,1,True,6,1,1.228582453573067,0.666666667,13.972495299996808,,
SW2-A_seed20260923_width1.0,SW2-A,20260923,1.0,1,True,6,2,1.4078341843561764,0.636363636,19.295370799998636,,
SW2-A_seed20260923_width0.8,SW2-A,20260923,0.8,1,True,6,2,1.3767872405447246,0.636363636,27.795504999987315,,
SW2-A_seed20260923_width1.2,SW2-A,20260923,1.2,1,True,6,3,1.5751772253672713,0.606060606,13.998105999999098,,
SW2-A_seed20260924_width1.0,SW2-A,20260924,1.0,1,True,6,1,1.306942337571061,0.636363636,20.005427500000224,,
SW2-A_seed20260924_width0.8,SW2-A,20260924,0.8,1,True,6,1,1.4247034336682296,0.636363636,32.017009900009725,,
SW2-A_seed20260924_width1.2,SW2-A,20260924,1.2,1,True,6,1,1.463743565249037,0.606060606,15.69903570000315,,
SW2-A_seed20260925_width1.0,SW2-A,20260925,1.0,1,True,6,1,1.396308441744133,0.6666666670000001,19.439827099995455,,
SW2-A_seed20260925_width0.8,SW2-A,20260925,0.8,1,True,6,2,1.351228874750864,0.6666666670000001,29.560588199994527,,
SW2-A_seed20260925_width1.2,SW2-A,20260925,1.2,1,True,6,1,1.4542203384815704,0.6666666670000001,13.390947799998685,,
SW3-A_seed20260923_width1.0,SW3-A,20260923,1.0,1,True,5,2,1.516615697336017,0.636363636,7.877761700001429,,
