triplet_id,prototype_id,backbone_variant,production_seed,replicate,all_three_generation_completed,all_three_independently_evaluated,all_three_mechanically_legal,all_targets_consumed_exactly,simple_case_id,simple_generation_completed,simple_mechanically_legal,simple_target_l1_count,simple_actual_l1_count,simple_target_l2_count,simple_actual_l2_count,simple_normalized_ordinary_branch_length,simple_occupied_area_ratio,medium_case_id,medium_generation_completed,medium_mechanically_legal,medium_target_l1_count,medium_actual_l1_count,medium_target_l2_count,medium_actual_l2_count,medium_normalized_ordinary_branch_length,medium_occupied_area_ratio,rich_case_id,rich_generation_completed,rich_mechanically_legal,rich_target_l1_count,rich_actual_l1_count,rich_target_l2_count,rich_actual_l2_count,rich_normalized_ordinary_branch_length,rich_occupied_area_ratio,l1_strict_monotonic,l1_nondecreasing,l1_response_pattern,delta_l1_sm,delta_l1_mr,delta_l1_sr,l1_slope_sr_per_level,l2_strict_monotonic,l2_nondecreasing,l2_response_pattern,delta_l2_sm,delta_l2_mr,delta_l2_sr,l2_slope_sr_per_level,length_strict_monotonic,length_nondecreasing,length_response_pattern,delta_length_sm,delta_length_mr,delta_length_sr,length_slope_sr_per_level,occupancy_strict_monotonic,occupancy_nondecreasing,occupancy_response_pattern,delta_occupancy_sm,delta_occupancy_mr,delta_occupancy_sr,occupancy_slope_sr_per_level
E10V2_proto_sw_1_1_swept_200000,proto_sw_1_1,swept,200000,1,1,1,1,1,E10V2_A007,1,1,5,3,1,1,0.7099203117358668,0.009805601242690058,E10V2_A008,1,1,7,5,3,3,1.4779627914904125,0.01722404970760234,E10V2_A009,1,1,9,7,5,5,2.4026576627891827,0.03224940606725146,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.7680424797545458,0.9246948712987701,1.692737351053316,0.846368675526658,1,1,strictly_increasing,0.007418448464912282,0.015025356359649123,0.022443804824561403,0.011221902412280702
E10V2_proto_sw_1_1_swept_200001,proto_sw_1_1,swept,200001,2,1,1,1,1,E10V2_A016,1,1,5,3,1,1,0.7689942545832551,0.007338495979532164,E10V2_A017,1,1,7,5,3,3,1.4205853843176355,0.015413697002923976,E10V2_A018,1,1,9,7,5,5,2.1989046736371196,0.02693827668128655,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.6515911297343804,0.7783192893194841,1.4299104190538645,0.7149552095269323,1,1,strictly_increasing,0.008075201023391812,0.011524579678362573,0.019599780701754384,0.009799890350877192
E10V2_proto_sw_1_1_swept_200002,proto_sw_1_1,swept,200002,3,1,1,1,1,E10V2_A025,1,1,5,3,1,1,0.7617718844523874,0.010342425073099416,E10V2_A026,1,1,7,5,3,3,1.5575575473577579,0.022289610745614034,E10V2_A027,1,1,9,7,5,5,2.56042351945877,0.03810878106725146,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.7957856629053705,1.002865972101012,1.7986516350063826,0.8993258175031913,1,1,strictly_increasing,0.011947185672514618,0.01581917032163743,0.027766355994152045,0.013883177997076022
E10V2_proto_sw_1_1_swept_200003,proto_sw_1_1,swept,200003,4,1,1,1,1,E10V2_A034,1,1,5,3,1,1,0.786031999035618,0.009565743786549707,E10V2_A035,1,1,7,5,3,3,1.3702870251028143,0.014031661184210526,E10V2_A036,1,1,9,7,5,5,2.244308257571093,0.029405381944444444,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.5842550260671963,0.8740212324682788,1.458276258535475,0.7291381292677375,1,1,strictly_increasing,0.004465917397660819,0.015373720760233918,0.01983963815789474,0.00991981907894737
E10V2_proto_sw_1_1_swept_200004,proto_sw_1_1,swept,200004,5,1,1,1,1,E10V2_A043,1,1,5,3,1,1,0.70206690527629,0.01038811220760234,E10V2_A044,1,1,7,5,3,3,1.5773263075263717,0.01846902412280702,E10V2_A045,1,1,9,7,5,5,2.520786191328794,0.027646427266081873,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.8752594022500817,0.9434598838024222,1.8187192860525039,0.9093596430262519,1,1,strictly_increasing,0.008080911915204679,0.009177403143274854,0.017258315058479533,0.008629157529239767
E10V2_proto_sw_1_1_swept_200005,proto_sw_1_1,swept,200005,6,1,1,1,1,E10V2_A052,1,1,5,3,1,1,0.716696853697155,0.01079358552631579,E10V2_A053,1,1,7,5,3,3,1.681433609355966,0.024556834795321638,E10V2_A054,1,1,9,7,5,5,2.2766932876991604,0.03183251096491228,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.9647367556588111,0.5952596783431943,1.5599964340020054,0.7799982170010027,1,1,strictly_increasing,0.013763249269005849,0.007275676169590645,0.021038925438596492,0.010519462719298246
E10V2_proto_sw_1_1_swept_200006,proto_sw_1_1,swept,200006,7,1,1,1,1,E10V2_A061,1,1,5,3,1,1,0.7083219926151713,0.012621070906432748,E10V2_A062,1,1,7,5,3,3,1.545594783251301,0.016778600146198832,E10V2_A063,1,1,9,7,5,5,2.111759165306196,0.0249109100877193,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.8372727906361298,0.5661643820548949,1.4034371726910249,0.7017185863455124,1,1,strictly_increasing,0.004157529239766084,0.008132309941520467,0.01228983918128655,0.006144919590643275
E10V2_proto_sw_1_1_swept_200007,proto_sw_1_1,swept,200007,8,1,1,1,1,E10V2_A070,1,1,5,3,1,1,0.7716412617231738,0.013169316520467836,E10V2_A071,1,1,7,5,3,3,1.6175776444866845,0.019348501461988302,E10V2_A072,1,1,9,7,5,5,2.3388304062363043,0.029428225511695907,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.8459363827635107,0.7212527617496198,1.5671891445131305,0.7835945722565653,1,1,strictly_increasing,0.0061791849415204665,0.010079724049707604,0.01625890899122807,0.008129454495614035
E10V2_proto_sw_1_1_swept_200008,proto_sw_1_1,swept,200008,9,1,1,1,1,E10V2_A079,1,1,5,3,1,1,0.7702800224631479,0.013660453216374269,E10V2_A080,1,1,7,5,3,3,1.6918301694577667,0.018383360745614034,E10V2_A081,1,1,9,7,5,5,2.5716022759924337,0.0380859375,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.9215501469946188,0.8797721065346671,1.8013222535292859,0.9006611267646429,1,1,strictly_increasing,0.004722907529239765,0.019702576754385966,0.02442548428362573,0.012212742141812866
E10V2_proto_sw_1_1_swept_200009,proto_sw_1_1,swept,200009,10,1,1,1,1,E10V2_A088,1,1,5,3,1,1,0.7746884974057451,0.013763249269005849,E10V2_A089,1,1,7,5,3,3,1.6292384759638965,0.023871527777777776,E10V2_A090,1,1,9,7,5,5,2.269974019363437,0.03273483187134503,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.8545499785581514,0.6407355433995405,1.495285521957692,0.747642760978846,1,1,strictly_increasing,0.010108278508771927,0.008863304093567254,0.01897158260233918,0.00948579130116959
E10V2_proto_sw_1_3_expanded_200000,proto_sw_1_3,expanded,200000,1,1,1,1,1,E10V2_A091,1,1,5,3,1,1,0.697004231588911,0.012335526315789474,E10V2_A092,1,1,7,5,3,3,1.3129626606412406,0.023151955409356724,E10V2_A093,1,1,9,7,5,5,2.0759333090212224,0.030878792032163743,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.6159584290523296,0.7629706483799819,1.3789290774323115,0.6894645387161558,1,1,strictly_increasing,0.01081642909356725,0.007726836622807019,0.01854326571637427,0.009271632858187134
E10V2_proto_sw_1_3_expanded_200001,proto_sw_1_3,expanded,200001,2,1,1,1,1,E10V2_A100,1,1,5,3,1,1,0.7129943378629615,0.012615360014619883,E10V2_A101,1,1,7,5,3,3,1.2474498460373453,0.022072596856725146,E10V2_A102,1,1,9,7,5,5,2.010596281668246,0.034253929093567254,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.5344555081743838,0.7631464356309008,1.2976019438052846,0.6488009719026423,1,1,strictly_increasing,0.009457236842105263,0.012181332236842108,0.021638569078947373,0.010819284539473686
E10V2_proto_sw_1_3_expanded_200002,proto_sw_1_3,expanded,200002,3,1,1,1,1,E10V2_A109,1,1,5,3,1,1,0.7076953534405801,0.010867827119883041,E10V2_A110,1,1,7,5,3,3,1.2471409142565217,0.021781341374269007,E10V2_A111,1,1,9,7,5,5,1.9868117425988798,0.03340300621345029,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.5394455608159416,0.7396708283423581,1.2791163891582997,0.6395581945791499,1,1,strictly_increasing,0.010913514254385966,0.011621664839181284,0.02253517909356725,0.011267589546783625
E10V2_proto_sw_1_3_expanded_200003,proto_sw_1_3,expanded,200003,4,1,1,1,1,E10V2_A118,1,1,5,3,1,1,0.7146345338738151,0.012661047149122808,E10V2_A119,1,1,7,5,3,3,1.2579206956624722,0.0211702759502924,E10V2_A120,1,1,9,7,5,5,2.022175140475991,0.035430372807017545,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.5432861617886571,0.7642544448135189,1.307540606602176,0.653770303301088,1,1,strictly_increasing,0.008509228801169591,0.014260096856725146,0.02276932565789474,0.01138466282894737
E10V2_proto_sw_1_3_expanded_200004,proto_sw_1_3,expanded,200004,5,1,1,1,1,E10V2_A127,1,1,5,3,1,1,0.6433292737617465,0.011433205409356726,E10V2_A128,1,1,7,5,3,3,1.259862281124927,0.021946957236842105,E10V2_A129,1,1,9,7,5,5,2.033442229588934,0.03286618238304093,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.6165330073631804,0.7735799484640071,1.3901129558271874,0.6950564779135937,1,1,strictly_increasing,0.010513751827485379,0.010919225146198829,0.02143297697368421,0.010716488486842105
E10V2_proto_sw_1_3_expanded_200005,proto_sw_1_3,expanded,200005,6,1,1,1,1,E10V2_A136,1,1,5,3,1,1,0.6401702901647378,0.011336120248538011,E10V2_A137,1,1,7,5,3,3,1.4312703777403168,0.025065104166666668,E10V2_A138,1,1,9,7,5,5,2.002252330732788,0.035070586622807015,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.791100087575579,0.5709819529924713,1.3620820405680503,0.6810410202840251,1,1,strictly_increasing,0.013728983918128657,0.010005482456140347,0.023734466374269004,0.011867233187134502
E10V2_proto_sw_1_3_expanded_200006,proto_sw_1_3,expanded,200006,7,1,1,1,1,E10V2_A145,1,1,5,3,1,1,0.6990313630466218,0.012501142178362573,E10V2_A146,1,1,7,5,3,3,1.2807164865060465,0.022637975146198832,E10V2_A147,1,1,9,7,5,5,2.025183593220521,0.03545892726608187,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.5816851234594247,0.7444671067144744,1.326152230173899,0.6630761150869495,1,1,strictly_increasing,0.01013683296783626,0.012820952119883041,0.0229577850877193,0.01147889254385965
E10V2_proto_sw_1_3_expanded_200007,proto_sw_1_3,expanded,200007,8,1,1,1,1,E10V2_A154,1,1,5,3,1,1,0.6966431252141847,0.012398346125730994,E10V2_A155,1,1,7,5,3,3,1.2038357680876448,0.017441063596491228,E10V2_A156,1,1,9,7,5,5,1.941720041244561,0.028417397660818713,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,2.0,2.0,4.0,2.0,1,1,strictly_increasing,0.5071926428734601,0.7378842731569162,1.2450769160303763,0.6225384580151881,1,1,strictly_increasing,0.005042717470760233,0.010976334064327485,0.016019051535087717,0.008009525767543858
