case_id,prototype_id,backbone_variant,density_level,replicate,diagnostic_id,method,target_l2_count,target_upgraded_parent_count,achieved_l2_count,achieved_upgraded_parent_count,mechanically_legal,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,clearance_violation_count,flower_region_intrusion_curve_count,periodic_seam_violation_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,parallel_cotravel_total,parallel_cotravel_peak,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio
C012,proto_sw_1_1,compact,rich,2,MB-L2,LG+CS,3,,3,2,1,0,0,0,0,0,0,0,0,0.05116224793693552,0.027768053,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666
C012,proto_sw_1_1,compact,rich,2,MB-L2,JBC,3,,3,2,1,0,0,0,0,0,0,0,0,0.028390226804022905,0.027768053,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666
C012,proto_sw_1_1,compact,rich,2,MB-L2,LG+Count,4,,4,2,1,0,0,0,0,0,0,0,0,0.043386100099823736,0.027768053,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
C012,proto_sw_1_1,compact,rich,2,MB-L2,LG+CS,4,,4,2,1,0,0,0,0,0,0,0,0,0.028390226804022905,0.027768053,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
C012,proto_sw_1_1,compact,rich,2,MB-L2,JBC,4,,4,2,1,0,0,0,0,0,0,0,0,0.028390226804022905,0.027768053,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
C013,proto_sw_1_1,swept,simple,1,MB-L2,LocalGreedy,1,,1,1,1,0,0,0,0,0,0,0,0,0.11416517075184332,0.027768053,0.0,0.0,0.75,0.25,0.0
C013,proto_sw_1_1,swept,simple,1,MB-L2,LG+Count,1,,1,1,1,0,0,0,0,0,0,0,0,0.11416517075184332,0.027768053,0.0,0.0,0.75,0.25,0.0
C013,proto_sw_1_1,swept,simple,1,MB-L2,LG+CS,1,,1,1,1,0,0,0,0,0,0,0,0,0.11998713137584403,0.027768053,0.0,0.0,0.75,0.25,0.0
C013,proto_sw_1_1,swept,simple,1,MB-L2,JBC,1,,1,1,1,0,0,0,0,0,0,0,0,0.14334965008331177,0.027768053,0.0,0.0,0.75,0.25,0.0
C013,proto_sw_1_1,swept,simple,1,MB-L2,LocalGreedy,2,,2,1,1,0,0,0,0,0,0,0,0,0.11922035008233452,0.027768053,0.0,0.0,0.75,0.0,0.25
C013,proto_sw_1_1,swept,simple,1,MB-L2,LG+Count,2,,2,1,1,0,0,0,0,0,0,0,0,0.11922035008233452,0.027768053,0.0,0.0,0.75,0.0,0.25
C013,proto_sw_1_1,swept,simple,1,MB-L2,LG+CS,2,,2,1,1,0,0,0,0,0,0,0,0,0.12037312474488045,0.027768053,0.0,0.0,0.75,0.0,0.25
C013,proto_sw_1_1,swept,simple,1,MB-L2,JBC,2,,2,1,1,0,0,0,0,0,0,0,0,0.13890475999582136,0.027768053,0.0,0.0,0.75,0.0,0.25
C014,proto_sw_1_1,swept,simple,2,MB-L2,LocalGreedy,1,,1,1,1,0,0,0,0,0,0,0,0,0.11981950800773174,0.027768053,0.0,0.0,0.75,0.25,0.0
C014,proto_sw_1_1,swept,simple,2,MB-L2,LG+Count,1,,1,1,1,0,0,0,0,0,0,0,0,0.11981950800773174,0.027768053,0.0,0.0,0.75,0.25,0.0
C014,proto_sw_1_1,swept,simple,2,MB-L2,LG+CS,1,,1,1,1,0,0,0,0,0,0,0,0,0.11981950800773174,0.027768053,0.0,0.0,0.75,0.25,0.0
C014,proto_sw_1_1,swept,simple,2,MB-L2,JBC,1,,1,1,1,0,0,0,0,0,0,0,0,0.11981950800773174,0.027768053,0.0,0.0,0.75,0.25,0.0
C014,proto_sw_1_1,swept,simple,2,MB-L2,LocalGreedy,2,,2,1,1,0,0,0,0,0,0,0,0,0.11981950800773174,0.027768053,0.0,0.0,0.75,0.0,0.25
C014,proto_sw_1_1,swept,simple,2,MB-L2,LG+Count,2,,2,1,1,0,0,0,0,0,0,0,0,0.11981950800773174,0.027768053,0.0,0.0,0.75,0.0,0.25
C014,proto_sw_1_1,swept,simple,2,MB-L2,LG+CS,2,,2,1,1,0,0,0,0,0,0,0,0,0.11981950800773174,0.027768053,0.0,0.0,0.75,0.0,0.25
C014,proto_sw_1_1,swept,simple,2,MB-L2,JBC,2,,2,1,1,0,0,0,0,0,0,0,0,0.11981950800773174,0.027768053,0.0,0.0,0.75,0.0,0.25
