case_id,target,method,attained,score,quality,B,U,total,peak
C015,3,JBC,True,1.824724612319148,1.464724612319148,3,2,0.0,0.0
C015,4,LocalGreedy,True,1.7679456227046115,1.4079456227046117,4,2,0.0,0.0
C015,4,LG+Count,True,1.7679456227046115,1.4079456227046117,4,2,0.0,0.0
C015,4,LG+CS,True,1.8062702201812386,1.4462702201812387,4,2,0.0,0.0
C015,4,JBC,True,1.818957065742886,1.4589570657428859,4,2,0.0,0.0
C016,1,LocalGreedy,True,0.8760139665430342,0.6960139665430343,1,1,0.0,0.0
C016,1,LG+Count,True,0.8760139665430342,0.6960139665430343,1,1,0.0,0.0
C016,1,LG+CS,True,0.9086146627288736,0.7286146627288735,1,1,0.0,0.0
C016,1,JBC,True,0.916113322242351,0.736113322242351,1,1,0.0,0.0
C016,2,LocalGreedy,True,0.8939681241576922,0.7139681241576923,2,1,0.0,0.0
C016,2,LG+Count,True,0.8939681241576922,0.7139681241576923,2,1,0.0,0.0
C016,2,LG+CS,True,1.8023307452335122,1.4423307452335121,2,2,0.0,0.0
C016,2,JBC,True,1.8247279849712243,1.4647279849712245,2,2,0.0,0.0
C016,3,LocalGreedy,True,1.769611315442435,1.409611315442435,3,2,0.0,0.0
C016,3,LG+Count,True,1.769611315442435,1.409611315442435,3,2,0.0,0.0
C016,3,LG+CS,True,1.78790150013764,1.42790150013764,3,2,0.0,0.0
C016,3,JBC,True,1.8164391090387255,1.4564391090387256,3,2,0.0,0.0
C016,4,LocalGreedy,True,1.773254961566459,1.413254961566459,4,2,0.0,0.0
C016,4,LG+Count,True,1.773254961566459,1.413254961566459,4,2,0.0,0.0
C016,4,LG+CS,True,1.773254961566459,1.413254961566459,4,2,0.0,0.0
C016,4,JBC,True,1.8024890159486748,1.442489015948675,4,2,0.0,0.0
C017,1,LocalGreedy,True,0.8857413088898263,0.7057413088898262,1,1,0.0,0.0
C017,1,LG+Count,True,0.8857413088898263,0.7057413088898262,1,1,0.0,0.0
C017,1,LG+CS,True,0.9014402926064304,0.7214402926064305,1,1,0.0,0.0
C017,1,JBC,True,0.9127655753327568,0.7327655753327568,1,1,0.0,0.0
C017,2,LocalGreedy,True,0.8986850285461037,0.7186850285461037,2,1,0.0,0.0
C017,2,LG+Count,True,0.8986850285461037,0.7186850285461037,2,1,0.0,0.0
C017,2,LG+CS,True,0.8986850285461037,0.7186850285461037,2,1,0.0,0.0
C017,2,JBC,True,0.9050091007862513,0.7250091007862512,2,1,0.0,0.0
C018,1,LocalGreedy,True,0.8716924567114814,0.6916924567114815,1,1,0.0,0.0
C018,1,LG+Count,True,0.8716924567114814,0.6916924567114815,1,1,0.0,0.0
C018,1,LG+CS,True,0.8895067053119716,0.7095067053119717,1,1,0.0,0.0
C018,1,JBC,True,0.9192222322587156,0.7392222322587156,1,1,0.0,0.0
C018,2,LocalGreedy,True,0.8810357657821863,0.7010357657821864,2,1,0.0,0.0
C018,2,LG+Count,True,0.8810357657821863,0.7010357657821864,2,1,0.0,0.0
C018,2,LG+CS,True,0.8935608547139242,0.7135608547139243,2,1,0.0,0.0
C018,2,JBC,True,1.8348158391703695,1.4748158391703696,2,2,0.0,0.0
C018,3,LocalGreedy,True,1.7644145907028,1.4044145907028,3,2,0.0,0.0
C018,3,LG+Count,True,1.7644145907028,1.4044145907028,3,2,0.0,0.0
C018,3,LG+CS,True,1.8036986858890804,1.4436986858890803,3,2,0.0,0.0
C018,3,JBC,True,1.8241948901976088,1.464194890197609,3,2,0.0,0.0
C018,4,LocalGreedy,True,1.7533017271032292,1.393301727103229,4,2,0.0,0.0
C018,4,LG+Count,True,1.7533017271032292,1.393301727103229,4,2,0.0,0.0
C018,4,LG+CS,True,1.7894114668335908,1.4294114668335907,4,2,0.0,0.0
C018,4,JBC,True,1.8088909077075277,1.4488909077075276,4,2,0.0,0.0
C037,1,LocalGreedy,True,0.8876241493098562,0.7076241493098562,1,1,0.0,0.0
C037,1,LG+Count,True,0.8876241493098562,0.7076241493098562,1,1,0.0,0.0
C037,1,LG+CS,True,0.8876241493098562,0.7076241493098562,1,1,0.0,0.0
C037,1,JBC,True,0.9089731185221155,0.7289731185221154,1,1,0.0,0.0
C037,2,LocalGreedy,True,1.752608768028657,1.3926087680286572,2,2,0.0,0.0
C037,2,LG+Count,True,1.752608768028657,1.3926087680286572,2,2,0.0,0.0
C037,2,LG+CS,True,0.8977500761795796,0.7186279234295796,2,1,0.000836045,0.000836045
C037,2,JBC,True,1.8177589501448241,1.457758950144824,2,2,0.0,0.0
C037,3,LocalGreedy,True,1.7707319842895837,1.4107319842895836,3,2,0.0,0.0
C037,3,LG+Count,True,1.7707319842895837,1.4107319842895836,3,2,0.0,0.0
C037,3,LG+CS,True,1.8052851014395337,1.4461629486895338,3,2,0.000836045,0.000836045
C037,3,JBC,True,1.813928230929882,1.453928230929882,3,2,0.0,0.0
C037,4,LocalGreedy,False,1.7707319842895837,1.4107319842895836,3,2,0.0,0.0
C037,4,LG+Count,True,1.7808579111593068,1.4217357584093069,4,2,0.000836045,0.000836045
C037,4,LG+CS,True,1.8027051885873462,1.4435830358373463,4,2,0.000836045,0.000836045
C037,4,JBC,True,1.8088337826183825,1.4488337826183826,4,2,0.0,0.0
C038,1,LocalGreedy,True,0.8861083918111694,0.7061083918111695,1,1,0.0,0.0
C038,1,LG+Count,True,0.8861083918111694,0.7061083918111695,1,1,0.0,0.0
C038,1,LG+CS,True,0.9052009737537889,0.7252009737537889,1,1,0.0,0.0
C038,1,JBC,True,0.9147934184083597,0.7347934184083598,1,1,0.0,0.0
C038,2,LocalGreedy,True,1.7560964837614808,1.409256792111481,2,2,0.012533627,0.012533627
C038,2,LG+Count,True,1.7560964837614808,1.409256792111481,2,2,0.012533627,0.012533627
C038,2,LG+CS,True,0.9056499997362122,0.7256499997362122,2,1,0.0,0.0
C038,2,JBC,True,1.8247236239588576,1.4647236239588577,2,2,0.0,0.0
C038,3,LocalGreedy,True,1.5153196733081404,1.4210448659081405,3,2,0.253071612,0.253071612
C038,3,LG+Count,True,1.5153196733081404,1.4210448659081405,3,2,0.253071612,0.253071612
C038,3,LG+CS,True,1.8064119556453417,1.4464119556453419,3,2,0.0,0.0
C038,3,JBC,True,1.820443418144572,1.460443418144572,3,2,0.0,0.0
C038,4,LocalGreedy,False,1.5153196733081404,1.4210448659081405,3,2,0.253071612,0.253071612
C038,4,LG+Count,True,1.5186701303949939,1.424395322994994,4,2,0.253071612,0.253071612
C038,4,LG+CS,True,1.796321204604947,1.4363212046049472,4,2,0.0,0.0
C038,4,JBC,True,1.8011388479316208,1.441615439781621,4,2,0.000453897,0.000453897
C039,1,LocalGreedy,True,0.8713653514625455,0.6913653514625454,1,1,0.0,0.0
C039,1,LG+Count,True,0.8713653514625455,0.6913653514625454,1,1,0.0,0.0
C039,1,LG+CS,True,0.903080617661524,0.723080617661524,1,1,0.0,0.0
C039,1,JBC,True,0.9120610654035772,0.7320610654035772,1,1,0.0,0.0
C039,2,LocalGreedy,True,0.9011342126902679,0.721134212690268,2,1,0.0,0.0
C039,2,LG+Count,True,0.9011342126902679,0.721134212690268,2,1,0.0,0.0
C039,2,LG+CS,True,0.9032425417605419,0.7232425417605418,2,1,0.0,0.0
C039,2,JBC,True,0.9055337704212914,0.7255337704212913,2,1,0.0,0.0
C040,1,LocalGreedy,True,0.7928708794126458,0.7342761550126458,1,1,0.115624072,0.115624072
C040,1,LG+Count,True,0.7928708794126458,0.7342761550126458,1,1,0.115624072,0.115624072
C040,1,LG+CS,True,0.7928708794126458,0.7342761550126458,1,1,0.115624072,0.115624072
C040,1,JBC,True,0.9093708259314908,0.7293708259314908,1,1,0.0,0.0
C040,2,LocalGreedy,True,0.6781388522378367,0.7143413702378366,2,1,0.20590716,0.20590716
C040,2,LG+Count,True,0.6781388522378367,0.7143413702378366,2,1,0.20590716,0.20590716
