pair_id,case_id,asset_id,prototype,structure_image,render_image,prompt_file,generation_route,returned_model_id,attempt,started_at,finished_at
sw1-B-37,A150,A150,SW1-B,structures/sw1-B-37.png,renderings/sw1-B-37.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:33:41.324932+08:00,2026-09-20T00:35:44.524170+08:00
sw1-C-37,A526,A526,SW1-C,structures/sw1-C-37.png,renderings/sw1-C-37.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:37:22.673013+08:00,2026-09-20T00:39:55.683022+08:00
sw2-A-37,A258,A258,SW2-A,structures/sw2-A-37.png,renderings/sw2-A-37.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:37:23.621984+08:00,2026-09-20T00:39:55.918047+08:00
sw3-A-37,A338,A338,SW3-A,structures/sw3-A-37.png,renderings/sw3-A-37.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:41:41.570737+08:00,2026-09-20T00:43:51.812008+08:00
sw3-B-37,A374,A374,SW3-B,structures/sw3-B-37.png,renderings/sw3-B-37.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:41:42.525229+08:00,2026-09-20T00:43:52.046365+08:00
sw1-A-38,A049,A049,SW1-A,structures/sw1-A-38.png,renderings/sw1-A-38.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:45:22.914572+08:00,2026-09-20T00:47:54.016213+08:00
sw1-B-38,A159,A159,SW1-B,structures/sw1-B-38.png,renderings/sw1-B-38.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:45:23.923557+08:00,2026-09-20T00:47:54.277243+08:00
sw1-C-38,A535,A535,SW1-C,structures/sw1-C-38.png,renderings/sw1-C-38.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:49:20.480409+08:00,2026-09-20T00:51:45.569361+08:00
sw2-A-38,A185,A185,SW2-A,structures/sw2-A-38.png,renderings/sw2-A-38.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:49:21.677589+08:00,2026-09-20T00:51:45.822429+08:00
sw3-A-38,A339,A339,SW3-A,structures/sw3-A-38.png,renderings/sw3-A-38.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:53:36.163970+08:00,2026-09-20T00:55:36.159035+08:00
sw3-B-38,A419,A419,SW3-B,structures/sw3-B-38.png,renderings/sw3-B-38.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:53:37.109186+08:00,2026-09-20T00:55:36.425296+08:00
sw1-A-39,A068,A068,SW1-A,structures/sw1-A-39.png,renderings/sw1-A-39.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:57:50.160657+08:00,2026-09-20T01:00:37.484843+08:00
sw1-B-39,E10V2_A095,E10V2_A095,SW1-B,structures/sw1-B-39.png,renderings/sw1-B-39.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:57:51.219693+08:00,2026-09-20T01:00:37.732086+08:00
sw1-C-39,A464,A464,SW1-C,structures/sw1-C-39.png,renderings/sw1-C-39.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:02:53.526290+08:00,2026-09-20T01:05:38.320538+08:00
sw2-A-39,A222,A222,SW2-A,structures/sw2-A-39.png,renderings/sw2-A-39.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:02:54.547143+08:00,2026-09-20T01:05:38.574178+08:00
sw3-A-39,A347,A347,SW3-A,structures/sw3-A-39.png,renderings/sw3-A-39.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:07:51.988356+08:00,2026-09-20T01:10:09.697728+08:00
sw3-B-39,A382,A382,SW3-B,structures/sw3-B-39.png,renderings/sw3-B-39.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:07:53.087348+08:00,2026-09-20T01:10:09.978318+08:00
sw1-A-40,A032,A032,SW1-A,structures/sw1-A-40.png,renderings/sw1-A-40.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:12:11.444523+08:00,2026-09-20T01:14:34.363775+08:00
sw1-B-40,E10V2_A131,E10V2_A131,SW1-B,structures/sw1-B-40.png,renderings/sw1-B-40.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:12:12.411123+08:00,2026-09-20T01:14:34.641871+08:00
sw1-C-40,A509,A509,SW1-C,structures/sw1-C-40.png,renderings/sw1-C-40.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:16:41.941355+08:00,2026-09-20T01:19:09.563573+08:00
sw2-A-40,A266,A266,SW2-A,structures/sw2-A-40.png,renderings/sw2-A-40.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:16:42.943487+08:00,2026-09-20T01:19:09.841911+08:00
sw3-A-40,A348,A348,SW3-A,structures/sw3-A-40.png,renderings/sw3-A-40.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:21:28.521614+08:00,2026-09-20T01:24:32.713728+08:00
sw3-B-40,A445,A445,SW3-B,structures/sw3-B-40.png,renderings/sw3-B-40.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:21:29.479879+08:00,2026-09-20T01:24:32.956750+08:00
sw1-A-41,A041,A041,SW1-A,structures/sw1-A-41.png,renderings/sw1-A-41.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:26:58.742698+08:00,2026-09-20T01:29:19.495811+08:00
sw1-B-41,E10V2_A140,E10V2_A140,SW1-B,structures/sw1-B-41.png,renderings/sw1-B-41.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:26:59.945920+08:00,2026-09-20T01:29:19.764574+08:00
sw1-C-41,A510,A510,SW1-C,structures/sw1-C-41.png,renderings/sw1-C-41.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:31:47.649286+08:00,2026-09-20T01:34:12.748554+08:00
sw2-A-41,A240,A240,SW2-A,structures/sw2-A-41.png,renderings/sw2-A-41.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:31:48.674469+08:00,2026-09-20T01:34:13.008415+08:00
sw3-A-41,A274,A274,SW3-A,structures/sw3-A-41.png,renderings/sw3-A-41.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:36:20.434556+08:00,2026-09-20T01:39:26.131581+08:00
sw3-B-41,E10V2_A374,E10V2_A374,SW3-B,structures/sw3-B-41.png,renderings/sw3-B-41.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:36:21.500312+08:00,2026-09-20T01:39:26.419567+08:00
sw1-A-42,A077,A077,SW1-A,structures/sw1-A-42.png,renderings/sw1-A-42.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:41:30.734434+08:00,2026-09-20T01:43:50.829059+08:00
sw1-B-42,E10V2_A167,E10V2_A167,SW1-B,structures/sw1-B-42.png,renderings/sw1-B-42.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:41:32.062663+08:00,2026-09-20T01:43:51.070708+08:00
sw1-C-42,A528,A528,SW1-C,structures/sw1-C-42.png,renderings/sw1-C-42.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:45:56.701104+08:00,2026-09-20T01:49:09.207323+08:00
sw2-A-42,A211,A211,SW2-A,structures/sw2-A-42.png,renderings/sw2-A-42.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:45:57.706259+08:00,2026-09-20T01:49:09.505241+08:00
sw3-A-42,A276,A276,SW3-A,structures/sw3-A-42.png,renderings/sw3-A-42.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:52:54.283197+08:00,2026-09-20T01:54:40.723745+08:00
sw3-B-42,E10V2_A392,E10V2_A392,SW3-B,structures/sw3-B-42.png,renderings/sw3-B-42.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:52:55.298565+08:00,2026-09-20T01:54:41.937210+08:00
sw1-A-43,A015,A015,SW1-A,structures/sw1-A-43.png,renderings/sw1-A-43.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:55:14.122624+08:00,2026-09-20T01:56:50.703954+08:00
sw1-B-43,E10V2_A176,E10V2_A176,SW1-B,structures/sw1-B-43.png,renderings/sw1-B-43.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:55:15.171474+08:00,2026-09-20T01:56:51.972567+08:00
sw1-C-43,A500,A500,SW1-C,structures/sw1-C-43.png,renderings/sw1-C-43.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:57:19.844379+08:00,2026-09-20T01:58:50.633566+08:00
sw2-A-43,A220,A220,SW2-A,structures/sw2-A-43.png,renderings/sw2-A-43.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:57:20.878409+08:00,2026-09-20T01:58:51.841346+08:00
sw3-A-43,A293,A293,SW3-A,structures/sw3-A-43.png,renderings/sw3-A-43.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:59:22.375718+08:00,2026-09-20T02:01:04.689203+08:00
sw3-B-43,E10V2_A419,E10V2_A419,SW3-B,structures/sw3-B-43.png,renderings/sw3-B-43.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T01:59:23.432182+08:00,2026-09-20T02:01:05.911595+08:00
sw1-A-44,A060,A060,SW1-A,structures/sw1-A-44.png,renderings/sw1-A-44.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:01:40.427372+08:00,2026-09-20T02:03:09.302271+08:00
sw1-B-44,A096,A096,SW1-B,structures/sw1-B-44.png,renderings/sw1-B-44.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:01:41.472730+08:00,2026-09-20T02:03:10.579421+08:00
sw1-C-44,A536,A536,SW1-C,structures/sw1-C-44.png,renderings/sw1-C-44.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:03:45.769608+08:00,2026-09-20T02:05:36.494510+08:00
sw2-A-44,A221,A221,SW2-A,structures/sw2-A-44.png,renderings/sw2-A-44.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:03:46.873038+08:00,2026-09-20T02:05:37.757530+08:00
sw3-A-44,A303,A303,SW3-A,structures/sw3-A-44.png,renderings/sw3-A-44.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:06:13.881172+08:00,2026-09-20T02:08:07.967272+08:00
sw3-B-44,A383,A383,SW3-B,structures/sw3-B-44.png,renderings/sw3-B-44.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:06:14.997453+08:00,2026-09-20T02:08:09.235794+08:00
sw1-A-45,A078,A078,SW1-A,structures/sw1-A-45.png,renderings/sw1-A-45.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:08:48.085007+08:00,2026-09-20T02:10:36.503598+08:00
sw1-B-45,A122,A122,SW1-B,structures/sw1-B-45.png,renderings/sw1-B-45.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:08:49.186686+08:00,2026-09-20T02:10:37.794080+08:00
sw1-C-45,E10V2_A464,E10V2_A464,SW1-C,structures/sw1-C-45.png,renderings/sw1-C-45.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:11:20.251206+08:00,2026-09-20T02:13:15.347112+08:00
sw2-A-45,A213,A213,SW2-A,structures/sw2-A-45.png,renderings/sw2-A-45.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:11:21.361971+08:00,2026-09-20T02:13:16.647558+08:00
sw3-A-45,A321,A321,SW3-A,structures/sw3-A-45.png,renderings/sw3-A-45.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:14:08.357751+08:00,2026-09-20T02:16:13.137463+08:00
sw3-B-45,A392,A392,SW3-B,structures/sw3-B-45.png,renderings/sw3-B-45.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:14:09.464047+08:00,2026-09-20T02:16:14.435176+08:00
sw1-A-46,E10V2_A059,E10V2_A059,SW1-A,structures/sw1-A-46.png,renderings/sw1-A-46.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:17:03.914440+08:00,2026-09-20T02:19:52.295520+08:00
sw1-B-46,A131,A131,SW1-B,structures/sw1-B-46.png,renderings/sw1-B-46.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:17:05.022363+08:00,2026-09-20T02:19:53.643306+08:00
sw1-C-46,E10V2_A473,E10V2_A473,SW1-C,structures/sw1-C-46.png,renderings/sw1-C-46.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:20:46.351036+08:00,2026-09-20T02:22:50.860325+08:00
sw2-A-46,A231,A231,SW2-A,structures/sw2-A-46.png,renderings/sw2-A-46.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:20:47.466820+08:00,2026-09-20T02:22:52.175634+08:00
sw3-A-46,A330,A330,SW3-A,structures/sw3-A-46.png,renderings/sw3-A-46.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:23:48.639323+08:00,2026-09-20T02:25:59.442376+08:00
sw3-B-46,A410,A410,SW3-B,structures/sw3-B-46.png,renderings/sw3-B-46.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:23:49.763790+08:00,2026-09-20T02:26:00.757212+08:00
sw1-A-47,E10V2_A068,E10V2_A068,SW1-A,structures/sw1-A-47.png,renderings/sw1-A-47.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:27:06.562493+08:00,2026-09-20T02:29:27.443078+08:00
sw1-B-47,A167,A167,SW1-B,structures/sw1-B-47.png,renderings/sw1-B-47.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:27:07.703821+08:00,2026-09-20T02:29:28.802546+08:00
sw1-C-47,E10V2_A518,E10V2_A518,SW1-C,structures/sw1-C-47.png,renderings/sw1-C-47.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:30:28.937038+08:00,2026-09-20T02:32:41.168874+08:00
sw2-A-47,E10V2_A185,E10V2_A185,SW2-A,structures/sw2-A-47.png,renderings/sw2-A-47.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T02:30:30.081198+08:00,2026-09-20T02:32:42.515385+08:00
