case_id,distance_limit,target,method,attained,selected_ids,score,quality,B,U,total,peak
C063,0.05,1,LG+CS,True,proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_004__Y-C__open_c__context_opposed__sample_0081;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0125,0.9086968089533165,0.7286968089533166,1,1,0.0,0.0
C063,0.05,1,JBC,True,proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0075;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_006__Y-C__compact_c__context_opposed__sample_0127,0.9133040429931252,0.7333040429931252,1,1,0.0,0.0
C063,0.05,2,LG+CS,True,proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_004__Y-2C__open_asymmetric__context_preferred__sample_0086;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0125,0.9028066459057287,0.7228066459057286,2,1,0.0,0.0
C063,0.05,2,JBC,True,proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0075;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050;proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__selected_l1_006__Y-2C__open_asymmetric__context_swapped__sample_0149,0.904500794686184,0.7245007946861841,2,1,0.0,0.0
C084,0.05,1,LG+CS,True,proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_007__Y-C__open_c__context_opposed__sample_0156;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0075;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0125;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000,0.8879506501846983,0.7079506501846983,1,1,0.0,0.0
C084,0.05,1,JBC,True,proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_007__L1-Only__independent_l1__context_preferred__sample_0150;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0075;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_005__Y-C__open_c__context_preferred__sample_0105;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0125;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000,0.9126546312783808,0.7326546312783807,1,1,0.0,0.0
C084,0.05,2,LG+CS,True,proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_007__L1-Only__independent_l1__context_preferred__sample_0150;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0075;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_002__Y-2C__staggered_c__context_preferred__sample_0038;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0125;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000,0.9024616505776522,0.7224616505776521,2,1,0.0,0.0
C084,0.05,2,JBC,True,proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_007__L1-Only__independent_l1__context_preferred__sample_0150;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0075;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_006__Y-2C__staggered_c__context_preferred__sample_0144;proto_sw_3_2__seed_1160715944__global_l1_flow_v3__density_rich__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000,0.9102060599271895,0.7302060599271896,2,1,0.0,0.0
C005,0.065,1,LG+CS,True,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__selected_l1_003__Y-C__open_c__context_preferred__sample_0055;proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0125;proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0075;proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100;proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025,0.8978728643112208,0.7178728643112209,1,1,0.0,0.0
C005,0.065,1,JBC,True,proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050;proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__selected_l1_006__Y-C__open_c__context_preferred__sample_0130;proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0075;proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100;proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_1_1__seed_2661861881__global_l1_flow_v3__density_rich__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025,0.9147062791250049,0.734706279125005,1,1,0.0,0.0
