prototype_id,backbone_variant,replicate,case_ids,same_resource_domain,l1_count_class,ordinary_length_class,D_class
proto_sw_3_1,compact,6,A319;A320;A321,1,ties,strict,strict
proto_sw_3_1,swept,6,A322;A323;A324,1,ties,strict,strict
proto_sw_3_1,expanded,7,A325;A326;A327,1,ties,strict,strict
proto_sw_3_1,compact,7,A328;A329;A330,1,ties,strict,strict
proto_sw_3_1,swept,7,A331;A332;A333,1,ties,strict,strict
proto_sw_3_1,expanded,8,A334;A335;A336,1,ties,strict,strict
proto_sw_3_1,compact,8,A337;A338;A339,1,ties,strict,strict
proto_sw_3_1,swept,8,A340;A341;A342,1,ties,strict,strict
proto_sw_3_1,expanded,9,A343;A344;A345,1,ties,strict,strict
proto_sw_3_1,compact,9,A346;A347;A348,1,ties,strict,strict
proto_sw_3_1,swept,9,A349;A350;A351,1,ties,strict,strict
proto_sw_3_1,expanded,10,A352;A353;A354,1,ties,strict,strict
proto_sw_3_1,compact,10,A355;A356;A357,1,ties,strict,strict
proto_sw_3_1,swept,10,A358;A359;A360,1,ties,strict,strict
proto_sw_3_2,expanded,1,A361;A362;A363,1,ties,strict,strict
proto_sw_3_2,compact,1,A364;A365;A366,1,strict,reversal,strict
proto_sw_3_2,swept,1,A367;A368;A369,1,ties,strict,strict
proto_sw_3_2,expanded,2,A370;A371;A372,1,ties,reversal,strict
proto_sw_3_2,compact,2,A373;A374;A375,1,strict,strict,strict
proto_sw_3_2,swept,2,A376;A377;A378,1,strict,reversal,strict
proto_sw_3_2,expanded,3,A379;A380;A381,1,strict,strict,strict
proto_sw_3_2,compact,3,A382;A383;A384,1,strict,strict,strict
proto_sw_3_2,swept,3,A385;A386;A387,1,strict,strict,strict
proto_sw_3_2,expanded,4,A388;A389;A390,1,ties,strict,strict
proto_sw_3_2,compact,4,A391;A392;A393,1,strict,strict,strict
proto_sw_3_2,swept,4,A394;A395;A396,1,strict,strict,strict
proto_sw_3_2,expanded,5,A397;A398;A399,1,strict,strict,strict
proto_sw_3_2,compact,5,A400;A401;A402,1,strict,strict,strict
proto_sw_3_2,swept,5,A403;A404;A405,1,strict,reversal,strict
proto_sw_3_2,expanded,6,A406;A407;A408,1,strict,strict,strict
proto_sw_3_2,compact,6,A409;A410;A411,1,strict,strict,strict
proto_sw_3_2,swept,6,A412;A413;A414,1,strict,strict,strict
proto_sw_3_2,expanded,7,A415;A416;A417,1,strict,strict,strict
proto_sw_3_2,compact,7,A418;A419;A420,1,strict,strict,strict
proto_sw_3_2,swept,7,A421;A422;A423,1,strict,strict,strict
proto_sw_3_2,expanded,8,A424;A425;A426,1,strict,reversal,strict
proto_sw_3_2,compact,8,A427;A428;A429,1,strict,reversal,strict
proto_sw_3_2,swept,8,A430;A431;A432,1,strict,strict,strict
proto_sw_3_2,expanded,9,A433;A434;A435,1,strict,strict,strict
proto_sw_3_2,compact,9,A436;A437;A438,1,strict,reversal,strict
proto_sw_3_2,swept,9,A439;A440;A441,1,ties,strict,strict
proto_sw_3_2,expanded,10,A442;A443;A444,1,strict,strict,strict
proto_sw_3_2,compact,10,A445;A446;A447,1,strict,strict,strict
proto_sw_3_2,swept,10,A448;A449;A450,1,strict,strict,strict
proto_sw_1_c,expanded,1,A451;A452;A453,1,strict,strict,strict
proto_sw_1_c,compact,1,A454;A455;A456,1,ties,strict,strict
proto_sw_1_c,swept,1,A457;A458;A459,1,strict,strict,strict
proto_sw_1_c,expanded,2,A460;A461;A462,1,ties,strict,strict
proto_sw_1_c,compact,2,A463;A464;A465,1,strict,strict,strict
proto_sw_1_c,swept,2,A466;A467;A468,1,ties,strict,strict
proto_sw_1_c,expanded,3,A469;A470;A471,1,ties,strict,strict
proto_sw_1_c,compact,3,A472;A473;A474,1,strict,strict,strict
proto_sw_1_c,swept,3,A475;A476;A477,1,strict,strict,strict
proto_sw_1_c,expanded,4,A478;A479;A480,1,strict,strict,strict
proto_sw_1_c,compact,4,A481;A482;A483,1,strict,strict,strict
proto_sw_1_c,swept,4,A484;A485;A486,1,ties,reversal,strict
proto_sw_1_c,expanded,5,A487;A488;A489,1,ties,strict,strict
proto_sw_1_c,compact,5,A490;A491;A492,1,strict,strict,strict
proto_sw_1_c,swept,5,A493;A494;A495,1,ties,strict,strict
proto_sw_1_c,expanded,6,A496;A497;A498,1,strict,strict,strict
proto_sw_1_c,compact,6,A499;A500;A501,1,strict,strict,strict
proto_sw_1_c,swept,6,A502;A503;A504,1,strict,strict,strict
proto_sw_1_c,expanded,7,A505;A506;A507,1,strict,strict,strict
proto_sw_1_c,compact,7,A508;A509;A510,1,strict,strict,strict
proto_sw_1_c,swept,7,A511;A512;A513,1,ties,strict,strict
proto_sw_1_c,expanded,8,A514;A515;A516,1,strict,strict,strict
proto_sw_1_c,compact,8,A517;A518;A519,1,ties,strict,strict
proto_sw_1_c,swept,8,A520;A521;A522,1,strict,strict,strict
proto_sw_1_c,expanded,9,A523;A524;A525,1,strict,strict,strict
proto_sw_1_c,compact,9,A526;A527;A528,1,strict,strict,strict
proto_sw_1_c,swept,9,A529;A530;A531,1,ties,strict,strict
proto_sw_1_c,expanded,10,A532;A533;A534,1,strict,strict,strict
proto_sw_1_c,compact,10,A535;A536;A537,1,strict,strict,strict
proto_sw_1_c,swept,10,A538;A539;A540,1,strict,strict,strict
