case_id,matrix_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,error_type,error_message,ordinary_l1_count,selected_l1_only_count,selected_l2_count,branchunit_count,stage3_runtime_seconds,stage4_runtime_seconds,conflict_graph_runtime_seconds,selection_runtime_seconds,render_runtime_seconds,total_runtime_seconds,l1_candidate_count,branchunit_candidate_count,conflict_edge_count,pair_penalty_count,search_node_count,search_node_limit,search_node_limit_reached,case_dir,mechanical_evaluation_success,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,clearance_violation_count,flower_region_intrusion_curve_count,backbone_seam_position_gap,backbone_seam_tangent_dot,periodic_seam_violation_count,parallel_cotravel_total,parallel_cotravel_peak,l1_layout_crossing_count,l1_layout_periodic_crossing_count,l1_layout_minimum_clearance,l1_layout_parallel_cotravel_total,l1_layout_parallel_cotravel_peak,l1_count,l2_count,branchunit_count_evaluated,ordinary_total_length,ordinary_mean_length,mean_backbone_excursion,vertical_span,occupied_area_ratio,upper_allocation_ratio,lower_allocation_ratio,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio,density_resource_D,root_hist_0,root_hist_1,root_hist_2,root_hist_3,root_hist_4,root_hist_5,root_hist_6,root_hist_7,root_gap_q25,root_gap_q50,root_gap_q75,root_gap_max,root_coverage_qcov,root_concentration,mechanical_evaluation_error,rq_use,backbone_seed,flower_seed,branch_seed,unit_seed,backbone_seed_source,flower_seed_source,branch_seed_source,unit_seed_source,allocation_rule
A267,A,Ours,proto_sw_2_3,compact,rich,10,200009,1,,,6,4,2,6,19.960339500103146,1.9739488998893648,2.576773200184107,0.002298699924722314,0.020168300019577146,24.545174499973655,1476,204,48,259,210,300000,0,raw_cases/A267,1,0,0,0,0,0,0.04183866941842927,0.02,0,0,0.0,1.0,0,0.0,0.0,0,0,0.04187765117612884,0.20092292076130994,0.20092292076130994,6,2,6,1.550415642158886,0.19380195526986074,0.09333839217860768,0.469822898,0.02746938961988304,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.600558499,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.09848484850000001,0.136363636,0.15151515175,0.39393939399999994,0.606060606,0.16666666666666666,,,,,,,,,,,
A268,A,Ours,proto_sw_2_3,swept,simple,10,200009,1,,,5,3,2,5,19.70189190004021,1.670479599852115,3.6132688999641687,0.0022145998664200306,0.015008199959993362,25.018151399912313,1476,170,187,543,163,300000,0,raw_cases/A268,1,0,0,0,0,0,0.026008437071969003,0.02,0,0,0.0,0.9999999999999999,0,0.0013691954681725083,0.0013691954681725083,0,0,0.07057109212632888,0.0,0.0,5,2,5,1.2856570138114778,0.18366528768735393,0.08639861574032728,0.34230242,0.02031935307017544,0.6,0.4,0.6,0.4,0.0,0.267616822,0.2,0.2,0.0,0.0,0.0,0.2,0.4,0.0,0.090909091,0.18181818100000002,0.212121213,0.42424242399999995,0.575757576,0.4,,,,,,,,,,,
A269,A,Ours,proto_sw_2_3,swept,medium,10,200009,1,,,6,4,2,6,19.75696780020371,2.0136724000331014,2.8077849000692368,0.0025422999169677496,0.016851100139319897,24.608558599837124,1476,204,209,360,166,300000,0,raw_cases/A269,1,0,0,0,0,0,0.04600190197210055,0.02,0,0,0.0,0.9999999999999999,0,0.0,0.0,0,0,0.04622703183760148,0.2320545859569011,0.2320545859569011,6,2,6,1.389767583723113,0.17372094796538912,0.08517805106535584,0.477652797,0.02244951571637427,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.435073229,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0984848485,0.1212121215,0.14393939375,0.42424242399999995,0.575757576,0.3333333333333333,,,,,,,,,,,
A270,A,Ours,proto_sw_2_3,swept,rich,10,200009,1,,,7,4,4,7,19.76918700011447,2.4024769000243396,2.51733860000968,0.005168000003322959,0.019957999931648374,24.728610399877653,1476,238,20,48,500,300000,0,raw_cases/A270,1,0,0,0,0,0,0.03172682839844482,0.02,0,0,0.0,0.9999999999999999,0,0.0,0.0,0,0,0.031867982651719855,0.05491570864534335,0.043309207313805956,7,4,7,1.8261777163671846,0.1660161560333804,0.09489666998168435,0.482074238,0.030993009868421052,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.737334309,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.090909091,0.090909091,0.106060606,0.42424242399999995,0.575757576,0.2857142857142857,,,,,,,,,,,
A271,A,Ours,proto_sw_3_1,expanded,simple,1,200000,1,,,5,3,2,5,9.760691199917346,1.6016418000217527,0.6460587999317795,0.0023499999660998583,0.01849639997817576,12.042074699886143,1299,125,0,0,139,300000,0,raw_cases/A271,1,0,0,0,0,0,0.13618634572557434,0.020067678,0,0,0.0,0.9999999999999999,0,0.0,0.0,0,0,0.13618634572557434,0.0,0.0,5,2,5,1.3294795996566287,0.18992565709380413,0.0856507807041615,0.6913899750000001,0.022301032529239765,0.6,0.4,0.6,0.4,0.0,0.173370217,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.121212121,0.15151515099999996,0.272727273,0.363636364,0.636363636,0.2,,,,,,,,,,,
A272,A,Ours,proto_sw_3_1,expanded,medium,1,200000,1,,,5,3,2,5,9.618257699999958,1.5806171998847276,2.0520717999897897,0.0036015999503433704,0.016900799935683608,13.283409399911761,1299,125,0,0,319,300000,0,raw_cases/A272,1,0,0,0,0,0,0.10216242050181239,0.020067678,0,0,0.0,0.9999999999999999,0,0.0,0.0,0,0,0.10221554331244424,0.0,0.0,5,2,5,1.598301169055858,0.22832873843655116,0.10023535272759497,0.8523699320000001,0.027577896564327485,0.6,0.4,0.6,0.4,0.0,0.389299621,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.090909091,0.18181818199999994,0.272727272,0.363636364,0.636363636,0.2,,,,,,,,,,,
A273,A,Ours,proto_sw_3_1,expanded,rich,1,200000,1,,,6,4,2,6,8.832062100060284,1.8638823998626322,3.4346345998346806,0.003664999967440963,0.017741699935868382,14.163379899924621,1299,150,0,0,370,300000,0,raw_cases/A273,1,0,0,0,0,0,0.09886580401205222,0.020067678,0,0,0.0,0.9999999999999999,0,0.0,0.0,0,0,0.10221554331244424,0.0,0.0,6,2,6,1.8414033496772713,0.2301754187096589,0.10015676871608567,0.8523699320000001,0.03191817434210526,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.649342379,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.090909091,0.136363636,0.18181818174999997,0.363636364,0.636363636,0.16666666666666666,,,,,,,,,,,
A274,A,Ours,proto_sw_3_1,compact,simple,1,200000,1,,,6,4,2,6,13.328946199966595,1.9758470000233501,3.0786820999346673,0.0027801000978797674,0.021104299928992987,18.418759600026533,1218,150,219,500,365,300000,0,raw_cases/A274,1,0,0,0,0,0,0.07531270389855585,0.020067678,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.07627411273921426,0.0,0.0,6,2,6,1.3421121658013802,0.16776402072517252,0.06599705525764285,0.5567596840000001,0.023911504020467836,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.281534707,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.090909091,0.121212121,0.21969697000000005,0.333333334,0.666666666,0.3333333333333333,,,,,,,,,,,
A275,A,Ours,proto_sw_3_1,compact,medium,1,200000,1,,,6,4,2,6,13.426266100024804,2.0138481000903994,2.5726568999234587,0.0031850000377744436,0.017387600149959326,18.0454462999478,1218,150,19,232,258,300000,0,raw_cases/A275,1,0,0,0,0,0,0.07240969839833095,0.020067678,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.08313557803881312,0.0,0.0,6,2,6,1.6382647961712662,0.20478309952140827,0.09449205924040069,0.633547148,0.025967425073099414,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.405890524,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0984848485,0.136363636,0.21969697000000005,0.3030303029999999,0.6969696970000001,0.16666666666666666,,,,,,,,,,,
A276,A,Ours,proto_sw_3_1,compact,rich,1,200000,1,,,6,4,2,6,13.350385800004005,1.965830400120467,3.774239599937573,0.0023641998413950205,0.020490200025960803,19.125565399881452,1218,150,18,206,256,300000,0,raw_cases/A276,1,0,0,0,0,0,0.03638736535871616,0.020067678,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.036244552698617136,6.910777933956483e-05,6.910777933956483e-05,6,2,6,2.0064438378371627,0.25080547972964534,0.10062616951780957,0.5810479219999999,0.03457944992690058,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.67837493,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.090909091,0.090909091,0.22727272749999994,0.363636364,0.636363636,0.3333333333333333,,,,,,,,,,,
