case_id,prototype_id,backbone_variant,replicate,density_level,l1_count,ordinary_length,D,target,source_dir,residual
A057,proto_sw_1_1,expanded,7,rich,6,1.4202556533039274,0.679712963,0.69904261,../../structural_assets/assets/A057,-0.01932964700000006
A058,proto_sw_1_1,compact,7,simple,4,1.024574033277053,0.161360726,0.145442763,../../structural_assets/assets/A058,0.015917963000000007
A059,proto_sw_1_1,compact,7,medium,5,1.16161439551634,0.361858453,0.444777118,../../structural_assets/assets/A059,-0.082918665
A060,proto_sw_1_1,compact,7,rich,6,1.430482507685853,0.685421247,0.647871496,../../structural_assets/assets/A060,0.03754975099999991
A061,proto_sw_1_1,swept,7,simple,4,1.045189407309417,0.16077449,0.221010464,../../structural_assets/assets/A061,-0.060235974
A062,proto_sw_1_1,swept,7,medium,6,1.2800614575777245,0.613277608,0.50577636,../../structural_assets/assets/A062,0.10750124799999994
A063,proto_sw_1_1,swept,7,rich,6,1.4334764852789799,0.716846188,0.71565722,../../structural_assets/assets/A063,0.0011889680000000125
A064,proto_sw_1_1,expanded,8,simple,4,1.0353268231824138,0.246966937,0.237123388,../../structural_assets/assets/A064,0.009843549000000007
A065,proto_sw_1_1,expanded,8,medium,6,1.4190106998103222,0.637306794,0.495227877,../../structural_assets/assets/A065,0.14207891700000003
A066,proto_sw_1_1,expanded,8,rich,6,1.4190106998103222,0.637306794,0.698499765,../../structural_assets/assets/A065,-0.061192970999999985
A067,proto_sw_1_1,compact,8,simple,4,1.0377352353243183,0.167358955,0.18016299,../../structural_assets/assets/A067,-0.012804034999999991
A068,proto_sw_1_1,compact,8,medium,5,1.421253586910884,0.504845292,0.513877267,../../structural_assets/assets/A068,-0.009031975000000081
A069,proto_sw_1_1,compact,8,rich,6,1.5724081095259672,0.728389989,0.692488919,../../structural_assets/assets/A069,0.03590106999999998
A070,proto_sw_1_1,swept,8,simple,4,1.0278521549920343,0.081023604,0.139796721,../../structural_assets/assets/A070,-0.058773117000000014
A071,proto_sw_1_1,swept,8,medium,6,1.2713517030602708,0.484443732,0.468754926,../../structural_assets/assets/A071,0.015688806
A072,proto_sw_1_1,swept,8,rich,6,1.7225789110945828,0.802630246,0.699103825,../../structural_assets/assets/A072,0.10352642099999998
A073,proto_sw_1_1,expanded,9,simple,4,1.038943210651835,0.205441813,0.197318004,../../structural_assets/assets/A073,0.00812380900000001
A074,proto_sw_1_1,expanded,9,medium,5,1.1687104344544372,0.379960031,0.395455747,../../structural_assets/assets/A074,-0.015495716000000048
A075,proto_sw_1_1,expanded,9,rich,6,1.4235914176736646,0.639140403,0.683921671,../../structural_assets/assets/A075,-0.04478126800000004
A076,proto_sw_1_1,compact,9,simple,4,1.0602229291167051,0.202991748,0.203089972,../../structural_assets/assets/A076,-9.822400000000786e-05
A077,proto_sw_1_1,compact,9,medium,5,1.2773981184469458,0.421480068,0.415606627,../../structural_assets/assets/A077,0.005873440999999979
A078,proto_sw_1_1,compact,9,rich,6,1.6247868113665271,0.707988443,0.679604159,../../structural_assets/assets/A078,0.028384283999999926
A079,proto_sw_1_1,swept,9,simple,4,1.1714858356526872,0.182847679,0.213881937,../../structural_assets/assets/A079,-0.03103425799999998
A080,proto_sw_1_1,swept,9,medium,5,1.4457052801977552,0.476008029,0.481773914,../../structural_assets/assets/A080,-0.005765885000000026
A081,proto_sw_1_1,swept,9,rich,6,1.4156865345884089,0.651211891,0.665814846,../../structural_assets/assets/A081,-0.014602954999999973
A082,proto_sw_1_1,expanded,10,simple,4,1.03340659790565,0.174909907,0.213409351,../../structural_assets/assets/A082,-0.038499443999999994
A083,proto_sw_1_1,expanded,10,medium,5,1.4051100066471989,0.357583791,0.393222488,../../structural_assets/assets/A083,-0.035638697
A084,proto_sw_1_1,expanded,10,rich,6,1.5503144235708486,0.6639972,0.68241839,../../structural_assets/assets/A084,-0.018421190000000087
A085,proto_sw_1_1,compact,10,simple,4,1.0449409236027434,0.166454613,0.189075614,../../structural_assets/assets/A085,-0.022621001
A086,proto_sw_1_1,compact,10,medium,5,1.50969062712961,0.577166191,0.492063116,../../structural_assets/assets/A086,0.08510307499999997
A087,proto_sw_1_1,compact,10,rich,6,1.6516589737316285,0.748506729,0.715641625,../../structural_assets/assets/A087,0.03286510400000009
A088,proto_sw_1_1,swept,10,simple,4,1.1928053536722887,0.160401966,0.162245852,../../structural_assets/assets/A088,-0.001843885999999989
A089,proto_sw_1_1,swept,10,medium,6,1.3992301943586185,0.552992396,0.468786014,../../structural_assets/assets/A089,0.08420638200000008
A090,proto_sw_1_1,swept,10,rich,6,1.6962141848810297,0.668223001,0.678839758,../../structural_assets/assets/A090,-0.010616756999999977
A091,proto_sw_1_3,expanded,1,simple,4,0.9876574754884698,0.278884568,0.27739826,../../structural_assets/assets/A091,0.0014863079999999917
A092,proto_sw_1_3,expanded,1,medium,5,1.205160905460259,0.465336063,0.476782409,../../structural_assets/assets/A092,-0.011446345999999996
A093,proto_sw_1_3,expanded,1,rich,6,1.723502880892603,0.817621075,0.751992124,../../structural_assets/assets/A093,0.06562895099999999
A094,proto_sw_1_3,compact,1,simple,4,1.10255097330854,0.232864487,0.2635838,../../structural_assets/assets/A094,-0.03071931299999997
A095,proto_sw_1_3,compact,1,medium,6,1.2919920782655243,0.586263064,0.538543152,../../structural_assets/assets/A095,0.04771991199999992
A096,proto_sw_1_3,compact,1,rich,6,1.4185618984907666,0.747999327,0.744055902,../../structural_assets/assets/A096,0.003943425
A097,proto_sw_1_3,swept,1,simple,4,1.0614681219192175,0.316496597,0.26610448,../../structural_assets/assets/A097,0.050392117000000014
A098,proto_sw_1_3,swept,1,medium,6,1.2384512906229312,0.581200474,0.480408188,../../structural_assets/assets/A098,0.10079228599999995
A099,proto_sw_1_3,swept,1,rich,6,1.4360541439130536,0.749011481,0.725992489,../../structural_assets/assets/A099,0.023018992000000016
A100,proto_sw_1_3,expanded,2,simple,4,1.0700584247103664,0.22704182,0.236608312,../../structural_assets/assets/A100,-0.009566491999999982
A101,proto_sw_1_3,expanded,2,medium,5,1.083710080153022,0.436193145,0.448687344,../../structural_assets/assets/A101,-0.012494198999999984
